ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Placement Embroidery Jogger,8136358822104,559,26,6.15,32,531,16.52,17.39,56,2,1,3.57,50.00,1.79,170,7,4.12,3.71,"6,953",4,0.06,1.54,0,0,,,,,,,,,,,144,6.05,27.20,1,3.68,3.87,5.75,25.84,32,144,32,144
Men Striped Shirt,8134402801880,"5,662",291,32.60,324,"6,303",19.47,17.49,311,23,8,7.40,34.78,2.57,"2,625",146,5.56,1.99,"4,385",8,0.18,4.08,0,0,,,,,,,,,,,781,5.14,12.39,9,8.07,7.25,5.72,13.79,36,87,40,98
Mens Striped Regular Fit Shirt,8140550373592,"26,476","1,016",494.85,"1,511","28,120",18.61,17.52,"2,237",234,36,10.46,15.38,1.61,"30,147","1,125",3.73,0.90,"54,397",118,0.22,4.19,0,42,0.08,,,,,,,,,,"5,739",5.37,20.41,41,4.90,4.61,5.71,21.68,37,140,42,159
Men Paint Splash Jeans,8134458573016,"1,278",72,,72,"1,821",25.13,17.63,106,12,2,11.32,16.67,1.89,420,35,8.33,2.07,"1,370",1,0.07,,0,0,,,,,,,,,,,272,3.98,14.95,3,6.69,4.69,5.67,21.30,24,91,36,136
Men Printed Lounge Pant,8140556894424,958,52,2.00,54,934,17.38,17.83,39,3,2,7.69,66.67,5.13,334,29,8.68,1.78,236,1,0.42,2.00,0,0,,,,,,,,,,,99,5.75,10.63,2,9.40,9.65,5.61,10.37,27,50,27,50
Men Checked Shirt,8134442221784,"1,180",65,0.45,65,"1,180",18.04,18.04,87,8,2,9.20,25.00,2.30,681,52,7.64,1.25,41,0,,,0,0,,,,,,,,,,,222,5.54,18.85,2,5.30,5.30,5.54,18.85,33,111,33,111
Men Solid Pack of 2 T-Shirt,8182155641048,"1,786",91,7.45,98,"2,679",27.26,18.17,181,6,2,3.31,33.33,1.10,967,39,4.03,2.33,"1,211",5,0.41,1.49,0,0,,,,,,,,,,,464,3.67,17.33,3,5.77,3.85,5.50,25.99,33,155,49,232
Men Regular Jeans,8136717664472,"7,670",414,5.00,419,"9,735",23.22,18.30,350,31,10,8.86,32.26,2.86,"4,132",169,4.09,2.45,892,4,0.45,1.25,0,0,,,,,,,,,,,900,4.31,9.25,13,10.82,8.52,5.46,11.73,32,69,42,90
Men Checked Shirt,8134442352856,"1,801",95,2.00,97,"1,770",18.31,18.63,155,19,3,12.26,15.79,1.94,848,39,4.60,2.43,440,1,0.23,2.00,0,0,,,,,,,,,,,399,5.46,22.52,3,4.44,4.52,5.37,22.13,32,133,32,133
Men Solid Trouser,8211690258648,852,33,12.44,45,809,17.85,18.79,49,1,1,2.04,100.00,2.04,158,25,15.82,1.32,"1,123",5,0.45,2.49,1,859,69.08,,,,,,,,,,122,5.60,15.09,1,6.63,6.97,5.32,14.34,45,122,45,122
Mens Striped Slim Fit Shirt,8134452248792,"17,375",919,4.50,923,"18,378",19.90,18.82,"1,362",130,31,9.54,23.85,2.28,"21,143",564,2.67,1.63,758,2,0.26,2.25,0,0,,,,,,,,,,,"3,559",5.02,19.37,36,5.16,4.88,5.31,20.49,26,99,30,115
Mens Striped Slim Fit Shirt,8149880275160,"1,436",0,76.14,76,"1,386",18.20,18.87,213,18,3,8.45,16.67,1.41,0,1,,,"11,420",64,0.56,1.19,1,640,8.40,,,,,,,,,,545,5.49,39.34,3,2.54,2.63,5.30,37.95,25,182,25,182
Men Checks Shirt,8134449823960,"3,043",146,14.30,161,"2,304",14.33,18.93,174,12,5,6.90,41.67,2.87,"1,905",74,3.88,1.98,"1,324",5,0.38,2.86,0,0,,,,,,,,,,,441,6.98,19.14,6,5.23,6.90,5.28,14.49,27,73,32,88
Men Checked Shirt,8140550209752,511,5,22.03,27,"1,079",40.22,19.05,25,3,1,12.00,33.33,4.00,47,0,,,"6,873",11,0.16,2.00,0,394,17.89,,,,,,,,,,63,2.49,5.87,2,17.03,8.07,5.25,12.40,13,32,27,63
Men Jogger Biker,8134373179608,"1,490",76,1.00,77,"1,416",18.35,19.32,90,14,2,15.56,14.29,2.22,491,37,7.54,2.06,575,2,0.35,0.50,0,0,,,,,,,,,,,234,5.45,16.54,2,6.04,6.36,5.18,15.72,39,117,39,117
Men Denim Jeans,8149824733400,"1,450",58,17.25,75,"1,450",19.39,19.39,76,4,2,5.26,50.00,2.63,276,21,7.61,2.74,532,7,1.32,2.46,0,0,,,,,,,,,,,192,5.16,13.22,2,7.56,7.56,5.16,13.22,37,96,37,96
Men Checked Shirt,8140558237912,"2,136",108,0.47,108,"2,754",25.39,19.69,175,18,3,10.29,16.67,1.71,"1,100",29,2.64,3.72,"1,248",1,0.08,0.47,0,0,,,,,,,,,,,449,3.94,16.31,4,6.13,4.76,5.08,21.03,27,112,36,150
Men Conversational Printed Shorts,8140528943320,"1,647",78,5.87,83,"2,758",33.03,19.73,149,15,3,10.07,20.00,2.01,744,31,4.17,2.50,"2,832",4,0.14,1.47,0,0,,,,,,,,,,,376,3.03,13.62,5,7.34,4.39,5.07,22.80,17,75,28,125
Men Check Shirt,8134402539736,"3,739",181,6.20,188,"3,739",19.92,19.92,143,16,5,11.19,31.25,3.50,"1,472",100,6.79,1.81,436,3,0.69,2.07,0,0,,,,,,,,,,,366,5.02,9.80,5,10.20,10.20,5.02,9.80,38,73,38,73
Men Checks Shirt,8134443729112,"2,360",118,,118,"2,332",19.71,19.95,231,15,4,6.49,26.67,1.73,"1,079",59,5.47,2.01,503,0,,,0,0,,,,,,,,,,,587,5.07,25.16,4,3.97,4.02,5.01,24.86,30,147,30,147
Men Casual Striped Shirt,8134443172056,621,27,4.00,31,621,20.08,20.08,49,9,1,18.37,11.11,2.04,139,8,5.76,3.37,414,1,0.24,4.00,0,40,10.05,,,,,,,,,,124,4.98,20.00,1,5.00,5.00,4.98,20.00,31,124,31,124
Mens Textured Relaxed Fit Shirt,8438887940312,567,0,28.00,28,539,19.24,20.25,96,6,1,6.25,16.67,1.04,0,0,,,864,3,0.35,9.33,0,0,,,,,,,,,,,245,5.20,45.55,1,2.20,2.31,4.94,43.27,28,245,28,245
Men Denim Shorts,8149842362584,816,40,,40,816,20.52,20.52,16,5,1,31.25,20.00,6.25,280,8,2.86,4.97,255,0,,,0,0,,,,,,,,,,,42,4.87,5.12,1,19.52,19.52,4.87,5.12,40,42,40,42
Men Striped Shirt,8140528058584,621,21,8.93,30,621,20.76,20.76,78,4,1,5.13,25.00,1.28,177,16,9.04,1.31,"1,000",1,0.10,8.93,0,0,,,,,,,,,,,200,4.82,32.23,1,3.10,3.10,4.82,32.23,30,200,30,200
Men Checked Shirt,8134447956184,"2,794",110,24.40,135,"1,649",12.25,20.77,303,13,3,4.29,23.08,0.99,"1,032",48,4.65,2.30,"3,508",8,0.23,3.05,0,0,,,,,,,,,,,774,8.16,46.92,3,2.13,3.61,4.82,27.68,45,258,45,258
Mens Striped Slim Fit Shirt,8134452281560,"13,455",434,213.50,648,"12,181",18.81,20.77,"1,693",102,24,6.02,23.53,1.42,"5,922",235,3.97,1.85,"53,306",88,0.17,2.43,0,0,,,,,,,,,,,"4,355",5.32,35.75,25,2.80,3.09,4.81,32.37,26,174,27,181
Men Checked Shirt,8136718614744,"3,043",134,11.97,146,"2,360",16.12,20.78,219,20,5,9.13,25.00,2.28,886,52,5.87,2.59,"2,347",7,0.30,1.71,0,0,,,,,,,,,,,563,6.21,23.86,5,4.19,5.40,4.81,18.50,29,113,29,113
Mens Back Printed Oversized T-Shirt,8476761325784,490,0,23.19,23,490,21.12,21.12,26,2,1,7.69,50.00,3.85,0,0,,,"3,588",8,0.22,2.90,0,0,,,,,,,,,,,66,4.74,13.58,1,7.36,7.36,4.74,13.58,23,66,23,66
Men Carrot Fit Jeans,8134366462168,815,5,33.43,38,0,,21.28,53,3,1,5.66,33.33,1.89,34,1,2.94,4.85,"1,093",9,0.82,3.71,0,0,,,,,,,,,,,140,,,1,,5.81,4.70,17.21,38,140,38,140
Men Checks Shirt,8134444155096,"8,756",406,,406,"9,172",22.61,21.58,451,57,15,12.64,26.32,3.33,"3,537",210,5.94,1.93,78,0,,,0,0,,,,,,,,,,,"1,164",4.42,12.69,16,7.88,7.52,4.63,13.29,25,73,27,78
Men Nautical Printed Shorts,8140528845016,"4,771",217,3.06,220,"6,367",28.99,21.73,244,44,9,18.03,20.45,3.69,"1,833",73,3.98,2.97,"1,858",1,0.05,3.06,0,0,,,,,,,,,,,621,3.45,9.76,12,10.25,7.68,4.60,13.02,18,52,24,69
Men Checks Shirt,8134453067992,559,10,15.01,25,531,21.00,22.10,121,6,1,4.96,16.67,0.83,79,2,2.53,5.14,"4,336",12,0.28,1.25,0,0,,,,,,,,,,,309,4.76,58.14,1,1.72,1.81,4.53,55.23,25,309,25,309
Men Printed Casual Shirt,8137694773464,559,8,16.52,25,531,21.43,22.55,23,3,1,13.04,33.33,4.35,85,3,3.53,2.75,455,4,0.88,4.13,1,"1,958",118.56,,,,,,,,,,59,4.67,11.13,1,8.99,9.46,4.43,10.57,25,59,25,59
Men Jogger Pant,8134384976088,559,13,11.36,24,559,22.90,22.90,31,5,1,16.13,20.00,3.23,54,7,12.96,1.86,119,3,2.52,3.79,0,0,,,,,,,,,,,81,4.37,14.41,1,6.94,6.94,4.37,14.41,24,81,24,81
Men Regular Jeans,8136719368408,"46,150","1,831",154.02,"1,985","42,604",21.46,23.25,"1,578",452,60,28.64,13.27,3.80,"12,698",436,3.43,4.20,"10,367",36,0.35,4.28,0,0,,,,,,,,,,,"4,051",4.66,9.51,67,10.52,11.39,4.30,8.78,30,60,33,68
Men Solid Slim Fit Jeans,8134461391064,"1,278",54,,54,"1,278",23.50,23.50,54,7,2,12.96,28.57,3.70,296,15,5.07,3.63,0,0,,,0,0,,,,,,,,,,,136,4.26,10.64,2,9.40,9.40,4.26,10.64,27,68,27,68
Men Checked Shirt,8134448185560,"1,242",35,17.34,53,"1,211",22.96,23.55,197,8,2,4.06,25.00,1.02,576,6,1.04,5.90,"2,135",5,0.23,3.47,0,0,,,,,,,,,,,504,4.35,41.64,2,2.40,2.46,4.25,40.60,26,252,26,252
Men Printed Shorts,8149843738840,692,24,5.27,29,692,23.65,23.65,10,2,1,20.00,50.00,10.00,95,4,4.21,6.00,481,3,0.62,1.76,0,0,,,,,,,,,,,26,4.23,3.82,1,26.16,26.16,4.23,3.82,29,26,29,26
Men Solid Jacket,8134465454296,"12,354",0,521.92,522,"12,354",23.67,23.67,399,22,6,5.51,27.27,1.50,0,0,,,"17,968",265,1.47,1.97,6,"11,396",21.83,,,,,,,,,,"1,017",4.22,8.23,6,12.15,12.15,4.22,8.23,87,169,87,169
Hardsoda Men Grey Plus Size Checked Casual Shirt,8377131860184,718,0,29.65,30,682,22.67,23.86,34,2,1,5.88,50.00,2.94,7,1,14.29,0.45,741,9,1.21,3.29,2,"4,449",150.06,,,,,,,,,,90,4.41,13.17,1,7.59,7.99,4.19,12.51,30,90,30,90
Men Printed Casual Shirt,8134455263448,559,23,,23,559,23.96,23.96,64,2,1,3.13,50.00,1.56,228,11,4.82,2.12,0,0,,,0,0,,,,,,,,,,,163,4.17,29.10,1,3.44,3.44,4.17,29.10,23,163,23,163
Mens Solid Slim Fit Shirt,8136714125528,"5,278",158,60.37,218,"5,698",26.13,24.21,448,49,9,10.94,18.37,2.01,"2,191",103,4.70,1.53,"9,219",23,0.25,2.62,0,0,,,,,,,,,,,"1,160",3.83,20.35,10,4.91,4.55,4.13,21.97,22,116,24,129
Men Casual Shirt,8134410272984,"4,099",149,20.13,169,"3,984",23.58,24.26,171,22,7,12.87,31.82,4.09,"1,203",81,6.73,1.84,"1,617",11,0.68,1.83,1,665,33.04,,,,,,,,,,437,4.24,10.97,7,9.12,9.38,4.12,10.66,24,62,24,62
Mens Back Printed Oversized T-Shirt,8453113086168,490,0,20.07,20,465,23.17,24.39,247,16,1,6.48,6.25,0.40,0,0,,,"4,548",10,0.22,2.01,0,0,,,,,,,,,,,651,4.32,140.07,2,0.71,0.75,4.10,133.06,10,326,20,651
Mens Checked Slim Fit Shirt,8134452904152,"1,739",5,66.00,71,"1,152",16.19,24.44,152,9,3,5.92,33.33,1.97,42,3,7.14,1.71,"14,600",17,0.12,3.88,0,0,,,,,,,,,,,390,6.17,33.85,3,2.95,4.46,4.09,22.43,24,130,24,130
Mens Black Slim Fit Checked Casual Shirt,8476761424088,"1,188",0,48.44,48,"1,129",23.30,24.53,182,13,2,7.14,15.38,1.10,0,0,,,"7,515",16,0.21,3.03,0,118,2.43,,,,,,,,,,462,4.29,40.92,3,2.44,2.57,4.08,38.88,16,154,24,231
Men Solid Jeans,8134464209112,639,21,4.78,26,639,24.60,24.60,38,5,1,13.16,20.00,2.63,242,10,4.13,2.12,269,1,0.37,4.78,0,0,,,,,,,,,,,103,4.06,16.13,1,6.20,6.20,4.06,16.13,26,103,26,103
Men Printed T-Shirt,8332721062104,944,32,5.51,38,944,24.91,24.91,100,8,2,8.00,25.00,2.00,553,5,0.90,6.48,939,2,0.21,2.75,0,42,7.67,,,,,,,,,,259,4.01,27.43,2,3.65,3.65,4.01,27.43,19,130,19,130
Men Solid Jacket,8182404939992,"2,428",0,95.01,95,"2,371",24.95,25.56,74,4,2,5.41,50.00,2.70,0,0,,,"3,029",38,1.25,2.50,1,"1,358",14.29,,,,,,,,,,195,4.01,8.24,2,12.13,12.43,3.91,8.05,48,98,48,98
Men Colorspray Jeans,8140535857368,"5,729",196,28.67,224,"5,638",25.15,25.55,217,22,9,10.14,40.91,4.15,"1,392",66,4.74,2.96,"1,073",11,1.03,2.61,0,0,,,,,,,,,,,570,3.98,10.10,9,9.90,10.06,3.91,9.94,25,63,25,63
Mens Solid Slim Fit Shirt,8136714485976,"2,422",9,84.21,93,"2,394",25.77,26.07,225,8,4,3.56,50.00,1.78,113,5,4.42,1.74,"3,915",22,0.56,3.83,1,701,8.32,,,,,,,,,,577,3.88,24.10,4,4.15,4.20,3.84,23.83,23,144,23,144
Men Printed Shirt,8140551389400,781,30,,30,742,24.79,26.09,54,5,1,9.26,20.00,1.85,259,9,3.47,3.33,150,0,,,0,0,,,,,,,,,,,141,4.03,19.05,1,5.25,5.53,3.83,18.10,30,141,30,141
Men Cotton Shorts,8140534481112,"1,079",29,12.74,41,"1,079",26.16,26.16,73,3,2,4.11,66.67,2.74,209,5,2.39,5.70,506,5,0.99,2.55,0,0,,,,,,,,,,,189,3.82,17.52,2,5.71,5.71,3.82,17.52,21,95,21,95
Men Printed Shorts,8214349218008,623,22,1.37,23,592,25.22,26.55,43,2,1,4.65,50.00,2.33,169,18,10.65,1.23,335,1,0.30,1.37,0,0,,,,,,,,,,,113,3.96,19.12,1,5.23,5.51,3.77,18.16,23,113,23,113
Men Solid Jeans,8134462079192,710,0,26.64,27,675,25.32,26.65,46,5,1,10.87,20.00,2.17,0,0,,,"5,264",5,0.09,5.33,0,0,,,,,,,,,,,117,3.95,17.35,1,5.76,6.07,3.75,16.48,27,117,27,117
Men Graphic T-shirt,8149918318808,497,19,,19,497,26.70,26.70,27,3,1,11.11,33.33,3.70,148,9,6.08,2.07,17,0,,,0,0,,,,,,,,,,,71,3.75,14.38,1,6.95,6.95,3.75,14.38,19,71,19,71
Mens Solid Plus Size Sweatshirt,8238619230424,516,0,19.27,19,490,25.42,26.76,19,1,1,5.26,100.00,5.26,0,0,,,363,5,1.38,3.85,0,0,,,,,,,,,,,50,3.93,10.27,1,9.74,10.25,3.74,9.75,19,50,19,50
Men Checks Shirt,8134444450008,"1,739",45,19.97,65,"1,739",26.90,26.90,275,20,3,7.27,15.00,1.09,346,23,6.65,1.94,"3,361",7,0.21,2.85,0,4,0.18,,,,,,,,,,710,3.72,40.81,3,2.45,2.45,3.72,40.81,22,237,22,237
Men Patch Pocket Cargo Pant Pant,8149849538776,767,7,20.97,28,728,25.66,27.01,92,9,1,9.78,11.11,1.09,8,0,,,"1,294",9,0.70,2.33,0,0,,,,,,,,,,,240,3.90,33.00,1,3.03,3.19,3.70,31.35,28,240,28,240
Men Checkered Shirt,8134455492824,"1,180",43,,43,"1,180",27.44,27.44,38,6,2,15.79,33.33,5.26,358,11,3.07,3.91,121,0,,,0,0,,,,,,,,,,,98,3.64,8.29,2,12.06,12.06,3.64,8.29,21,49,21,49
Mens Striped Slim Fit Shirt,8134368067800,"3,335",89,30.74,120,"3,335",27.87,27.87,708,28,6,3.95,21.43,0.85,"1,143",36,3.15,2.47,"2,818",13,0.46,2.36,0,0,,,,,,,,,,,"1,803",3.59,54.08,6,1.85,1.85,3.59,54.08,20,301,20,301
Men Printed Shirt,8140551454936,703,25,,25,668,26.51,27.90,56,10,1,17.86,10.00,1.79,153,9,5.88,2.80,20,0,,,0,0,,,,,,,,,,,148,3.77,22.09,1,4.53,4.77,3.58,20.99,25,148,25,148
Mens Solid Slim Fit Shirt,8136714289368,"4,099",135,10.70,146,"3,956",27.12,28.10,312,33,7,10.58,21.21,2.24,"1,558",83,5.33,1.63,"2,488",4,0.16,2.67,0,0,,,,,,,,,,,801,3.69,20.26,8,4.94,5.11,3.56,19.55,18,100,21,114
Men Solid Jeans,8134462046424,"1,349",48,,48,"2,027",42.27,28.13,55,7,2,12.73,28.57,3.64,260,13,5.00,3.69,59,0,,,0,0,,,,,,,,,,,142,2.37,7.02,3,14.24,9.48,3.56,10.55,16,47,24,71
Mens Striped Slim Fit Shirt,8140556173528,"4,782",148,22.05,170,"4,754",28.03,28.19,239,29,8,12.13,27.59,3.35,"1,310",46,3.51,3.21,"4,422",8,0.18,2.76,1,843,38.23,,,,,,,,,,622,3.57,13.09,9,7.64,7.68,3.55,13.01,19,69,21,78
Men Solid Co-Ords,8248346869976,862,29,1.58,30,819,27.16,28.59,109,7,1,6.42,14.29,0.92,211,9,4.27,3.17,524,0,,,0,0,,,,,,,,,,,273,3.68,33.36,1,3.00,3.15,3.50,31.70,30,273,30,273
Men Denim Jeans,8149824536792,"9,496",289,41.31,330,"8,670",26.24,28.74,375,120,11,32.00,9.17,2.93,"2,105",74,3.52,3.91,"8,122",10,0.12,4.13,0,0,,,,,,,,,,,960,3.81,11.07,12,9.03,9.89,3.48,10.11,28,80,30,87
Mens Back Printed Oversized T-Shirt,8453111972056,510,0,17.31,17,485,27.99,29.46,117,7,1,5.98,14.29,0.85,0,0,,,816,4,0.49,4.33,0,0,,,,,,,,,,,298,3.57,61.51,1,1.63,1.71,3.39,58.43,17,298,17,298
Men Jogger Pant,8133643436248,"1,213",33,8.49,41,"1,183",28.81,29.54,144,11,2,7.64,18.18,1.39,117,7,5.98,4.65,382,4,1.05,2.12,0,0,,,,,,,,,,,368,3.47,31.09,2,3.22,3.30,3.38,30.31,21,184,21,184
Mens Solid Slim Fit Shirt,8136714191064,"1,180",39,,39,"1,180",30.57,30.57,162,7,2,4.32,28.57,1.23,441,24,5.44,1.61,"1,206",0,,,0,0,,,,,,,,,,,415,3.27,35.20,2,2.84,2.84,3.27,35.20,19,208,19,208
Mens Solid Slim Fit Shirt,8136714387672,"5,216",106,63.21,169,"3,922",23.15,30.79,232,18,7,7.76,38.89,3.02,"1,004",50,4.98,2.12,"5,004",22,0.44,2.87,0,0,,,,,,,,,,,579,4.32,14.77,7,6.77,9.01,3.25,11.11,24,83,24,83
Men Placement Printed Slim Fit Jeans,8134462111960,639,0,20.68,21,604,29.18,30.89,59,7,1,11.86,14.29,1.69,0,0,,,415,2,0.48,10.34,0,0,,,,,,,,,,,157,3.43,26.00,1,3.85,4.07,3.24,24.55,21,157,21,157
Men Slim Fit Luxe Formal Shirt,8211681575128,623,20,,20,623,31.12,31.12,32,3,1,9.38,33.33,3.13,111,8,7.21,2.50,53,0,,,0,0,,,,,,,,,,,80,3.21,12.84,1,7.79,7.79,3.21,12.84,20,80,20,80
Men Shirt,8149860483288,656,17,4.11,21,"1,312",63.15,31.57,43,6,1,13.95,16.67,2.33,106,10,9.43,1.67,316,0,,,0,0,,,,,,,,,,,109,1.58,8.31,2,12.04,6.02,3.17,16.62,10,55,21,109
Men Paint Splash Jeans,8134459326680,"1,349",36,6.39,42,"1,349",31.84,31.84,51,7,2,13.73,28.57,3.92,423,14,3.31,2.57,75,3,4.00,2.13,0,0,,,,,,,,,,,132,3.14,9.81,2,10.20,10.20,3.14,9.80,21,66,21,66
Men Printed Casual Shirt,8134455197912,559,17,,17,559,32.09,32.09,51,2,1,3.92,50.00,1.96,220,16,7.27,1.09,32,0,,,0,0,,,,,,,,,,,134,3.12,23.92,1,4.18,4.18,3.12,23.93,17,134,17,134
Mens Checked Slim Fit Shirt,8438885515480,680,0,21.04,21,680,32.11,32.11,28,3,1,10.71,33.33,3.57,4,1,25.00,0.14,"2,548",6,0.24,3.51,0,0,,,,,,,,,,,69,3.12,10.22,1,9.79,9.79,3.12,10.21,21,69,21,69
Men Grey Relaxed Fit Solid Hooded Denim Jacket,8438887186648,"1,148",0,35.21,35,"1,091",30.97,32.60,58,3,1,5.17,33.33,1.72,0,0,,,"1,681",16,0.95,2.20,0,0,,,,,,,,,,,147,3.23,13.51,1,7.40,7.79,3.07,12.84,35,147,35,147
Men Jogger Biker,8134373376216,745,0,22.78,23,708,31.07,32.70,214,13,1,6.07,7.69,0.47,0,0,,,"4,355",9,0.21,2.53,0,0,,,,,,,,,,,542,3.22,76.52,1,1.31,1.38,3.06,72.70,23,542,23,542
Men Checked Shirt,8134450643160,621,5,13.72,19,0,,32.95,55,6,1,10.91,16.67,1.82,22,0,,,"1,187",4,0.34,3.43,0,0,,,,,,,,,,,144,,,1,,4.33,3.04,23.11,19,144,19,144
Men Winter Jacket,8134375407832,"1,384",0,41.92,42,"1,384",33.01,33.01,18,1,1,5.56,100.00,5.56,0,0,,,"1,365",21,1.54,2.00,1,"1,464",34.92,,,,,,,,,,51,3.03,3.68,1,27.20,27.20,3.03,3.68,42,51,42,51
Men Checked Shirt,8214354886872,745,17,5.18,23,708,31.38,33.03,19,1,1,5.26,100.00,5.26,85,10,11.76,1.74,887,3,0.34,1.73,0,0,,,,,,,,,,,53,3.19,7.56,1,13.23,13.93,3.03,7.18,23,53,23,53
Men Five Pocket Chino,8140546998488,862,17,8.45,25,"1,681",66.49,34.10,165,29,1,17.58,3.45,0.61,97,9,9.28,1.87,"1,747",2,0.11,4.23,0,0,,,,,,,,,,,419,1.50,24.94,2,4.01,2.06,2.93,48.63,13,210,25,419
Men Check Shirt,8133644517592,"2,036",21,38.60,60,"1,967",32.99,34.15,102,16,3,15.69,18.75,2.94,266,10,3.76,2.10,"1,467",17,1.16,2.27,0,0,,,,,,,,,,,269,3.03,13.69,3,7.31,7.56,2.93,13.22,20,90,20,90
Mens Back Printed Oversized T-Shirt,8453113381080,505,0,14.76,15,959,65.00,34.21,187,21,1,11.23,4.76,0.53,0,0,,,"1,961",9,0.46,1.64,0,0,,,,,,,,,,,498,1.54,51.87,2,1.93,1.01,2.92,98.55,7,249,15,498
Mens Printed Plus Size Sweatshirt,8238619459800,599,0,17.49,17,569,32.56,34.27,27,1,1,3.70,100.00,3.70,0,0,,,"3,185",7,0.22,2.50,0,0,,,,,,,,,,,69,3.07,12.18,1,8.21,8.64,2.92,11.57,17,69,17,69
Men Printed Oversized T-shirt,8255132074200,922,27,,27,922,34.29,34.29,50,5,2,10.00,40.00,4.00,236,5,2.12,5.38,0,0,,,0,0,,,,,,,,,,,134,2.92,14.50,2,6.89,6.89,2.92,14.50,13,67,13,67
Men Jeans Denim,8134415909080,"17,892",393,127.28,520,"17,668",33.95,34.38,798,271,27,33.96,9.96,3.38,"2,930",152,5.19,2.59,"10,350",40,0.39,3.18,0,0,,,,,,,,,,,"2,055",2.94,11.63,33,8.60,8.71,2.91,11.48,16,62,19,76
Men Checked Casual Shirt,8140557091032,559,14,2.00,16,531,32.67,34.39,26,3,1,11.54,33.33,3.85,154,12,7.79,1.19,407,1,0.25,2.00,0,0,,,,,,,,,,,66,3.06,12.40,1,8.06,8.49,2.91,11.78,16,66,16,66
Men Printed Shirt,8136715469016,621,3,14.32,18,621,34.94,34.94,16,1,1,6.25,100.00,6.25,59,3,5.08,1.15,491,3,0.61,4.77,1,688,48.00,,,,,,,,,,41,2.86,6.62,1,15.10,15.10,2.86,6.62,18,41,18,41
Men Checkered Shirt,8134402605272,687,19,0.09,19,652,33.51,35.27,304,3,1,0.99,33.33,0.33,110,5,4.55,3.88,"1,769",0,,,0,0,,,,,,,,,,,775,2.98,118.77,1,0.84,0.89,2.83,112.83,19,775,19,775
Men Joggers Pant,8134401458392,"1,242",33,2.00,35,"1,242",35.90,35.90,53,5,2,9.43,40.00,3.77,297,9,3.03,3.62,381,1,0.26,2.00,0,0,,,,,,,,,,,133,2.79,10.75,2,9.30,9.30,2.79,10.75,17,67,17,67
Men Checked Casual Shirt,8134455328984,621,13,4.43,17,590,34.28,36.08,114,5,1,4.39,20.00,0.88,90,7,7.78,1.83,"1,746",2,0.11,2.22,0,0,,,,,,,,,,,290,2.92,49.11,1,2.04,2.14,2.77,46.66,17,290,17,290
Men Checked Shirt,8401330045144,"1,384",8,29.52,38,"1,384",36.56,36.56,72,22,2,30.56,9.09,2.78,90,2,2.22,4.17,"3,274",13,0.40,2.27,1,713,24.14,,,,,,,,,,185,2.73,13.38,2,7.47,7.47,2.73,13.38,19,93,19,93
Mens Checked Regular Fit Shirt,8140553683160,703,13,6.40,19,"1,484",77.30,36.61,72,14,1,19.44,7.14,1.39,175,4,2.29,3.20,258,3,1.16,2.13,0,0,,,,,,,,,,,184,1.29,12.40,2,8.06,3.82,2.73,26.18,10,92,19,184
Men Quirky Printed Shirt,8134453100760,559,9,6.12,15,559,36.69,36.69,21,1,1,4.76,100.00,4.76,135,9,6.67,1.01,135,1,0.74,6.12,0,0,,,,,,,,,,,52,2.73,9.29,1,10.76,10.76,2.73,9.29,15,52,15,52
Mens Checked Slim Fit Shirt,8134444581080,559,11,3.69,15,559,37.90,37.90,66,2,1,3.03,50.00,1.52,61,8,13.11,1.38,349,0,,,0,0,,,,,,,,,,,167,2.64,29.81,1,3.35,3.35,2.64,29.81,15,167,15,167
Men Cotton Shorts,8136710553816,"4,374",110,4.57,115,"4,320",37.68,38.15,201,34,8,16.92,23.53,3.98,676,56,8.28,1.97,664,2,0.30,2.28,0,0,,,,,,,,,,,529,2.65,12.24,8,8.17,8.27,2.62,12.09,14,66,14,66
Men Checked Shirt,8134421348568,"1,801",47,0.04,47,"1,801",38.32,38.32,211,8,3,3.79,37.50,1.42,385,13,3.38,3.61,38,0,,,0,0,,,,,,,,,,,541,2.61,30.03,3,3.33,3.33,2.61,30.03,16,180,16,180
Men Checked Shirt,8134448152792,"5,279",105,31.25,137,"4,692",34.36,38.66,321,24,7,7.48,29.17,2.18,"1,161",40,3.45,2.63,"4,943",16,0.32,1.95,1,701,22.43,,,,,,,,,,827,2.91,17.62,9,5.67,6.38,2.59,15.66,15,92,20,118
